Species    	Sepal_Width 	Petal_Length 	Petal_Width 	Sepal_Length
setosa     	        3.7 	         1.5 	        0.2 	         5.3
setosa     	        3.3 	         1.4 	        0.2 	         5
versicolor 	        3.2 	         4.7 	        1.4 	         7
versicolor 	        3.2 	         4.5 	        1.5 	         6.4
versicolor 	        3.1 	         4.9 	        1.5 	         6.9
versicolor 	        2.3 	         4   	        1.3 	         5.5
versicolor 	        2.8 	         4.6 	        1.5 	         6.5
versicolor 	        2.8 	         4.5 	        1.3 	         5.7
versicolor 	        3.3 	         4.7 	        1.6 	         6.3
versicolor 	        2.4 	         3.3 	        1   	         4.9
versicolor 	        2.9 	         4.6 	        1.3 	         6.6
versicolor 	        2.7 	         3.9 	        1.4 	         5.2
versicolor 	        2   	         3.5 	        1   	         5
versicolor 	        3   	         4.2 	        1.5 	         5.9
versicolor 	        2.2 	         4   	        1   	         6
versicolor 	        2.9 	         4.7 	        1.4 	         6.1
versicolor 	        2.9 	         3.6 	        1.3 	         5.6
versicolor 	        3.1 	         4.4 	        1.4 	         6.7
versicolor 	        3   	         4.5 	        1.5 	         5.6
versicolor 	        2.7 	         4.1 	        1   	         5.8
versicolor 	        2.2 	         4.5 	        1.5 	         6.2
versicolor 	        2.5 	         3.9 	        1.1 	         5.6
versicolor 	        3.2 	         4.8 	        1.8 	         5.9
versicolor 	        2.8 	         4   	        1.3 	         6.1
versicolor 	        2.5 	         4.9 	        1.5 	         6.3
versicolor 	        2.8 	         4.7 	        1.2 	         6.1
versicolor 	        2.9 	         4.3 	        1.3 	         6.4
versicolor 	        3   	         4.4 	        1.4 	         6.6
versicolor 	        2.8 	         4.8 	        1.4 	         6.8
versicolor 	        3   	         5   	        1.7 	         6.7
versicolor 	        2.9 	         4.5 	        1.5 	         6
versicolor 	        2.6 	         3.5 	        1   	         5.7
versicolor 	        2.4 	         3.8 	        1.1 	         5.5
versicolor 	        2.4 	         3.7 	        1   	         5.5
versicolor 	        2.7 	         3.9 	        1.2 	         5.8
versicolor 	        2.7 	         5.1 	        1.6 	         6
versicolor 	        3   	         4.5 	        1.5 	         5.4
versicolor 	        3.4 	         4.5 	        1.6 	         6
versicolor 	        3.1 	         4.7 	        1.5 	         6.7
versicolor 	        2.3 	         4.4 	        1.3 	         6.3
versicolor 	        3   	         4.1 	        1.3 	         5.6
versicolor 	        2.5 	         4   	        1.3 	         5.5
versicolor 	        2.6 	         4.4 	        1.2 	         5.5
versicolor 	        3   	         4.6 	        1.4 	         6.1
versicolor 	        2.6 	         4   	        1.2 	         5.8
versicolor 	        2.3 	         3.3 	        1   	         5
versicolor 	        2.7 	         4.2 	        1.3 	         5.6
versicolor 	        3   	         4.2 	        1.2 	         5.7
versicolor 	        2.9 	         4.2 	        1.3 	         5.7
versicolor 	        2.9 	         4.3 	        1.3 	         6.2
versicolor 	        2.5 	         3   	        1.1 	         5.1
versicolor 	        2.8 	         4.1 	        1.3 	         5.7
virginica  	        3.3 	         6   	        2.5 	         6.3
virginica  	        2.7 	         5.1 	        1.9 	         5.8
virginica  	        3   	         5.9 	        2.1 	         7.1
virginica  	        2.9 	         5.6 	        1.8 	         6.3
virginica  	        3   	         5.8 	        2.2 	         6.5
virginica  	        3   	         6.6 	        2.1 	         7.6
virginica  	        2.5 	         4.5 	        1.7 	         4.9
virginica  	        2.9 	         6.3 	        1.8 	         7.3
virginica  	        2.5 	         5.8 	        1.8 	         6.7
virginica  	        3.6 	         6.1 	        2.5 	         7.2
virginica  	        3.2 	         5.1 	        2   	         6.5
virginica  	        2.7 	         5.3 	        1.9 	         6.4
virginica  	        3   	         5.5 	        2.1 	         6.8
virginica  	        2.5 	         5   	        2   	         5.7
virginica  	        2.8 	         5.1 	        2.4 	         5.8
virginica  	        3.2 	         5.3 	        2.3 	         6.4
virginica  	        3   	         5.5 	        1.8 	         6.5
virginica  	        3.8 	         6.7 	        2.2 	         7.7
virginica  	        2.6 	         6.9 	        2.3 	         7.7
virginica  	        2.2 	         5   	        1.5 	         6
virginica  	        3.2 	         5.7 	        2.3 	         6.9
virginica  	        2.8 	         4.9 	        2   	         5.6
virginica  	        2.8 	         6.7 	        2   	         7.7
virginica  	        2.7 	         4.9 	        1.8 	         6.3
virginica  	        3.3 	         5.7 	        2.1 	         6.7
virginica  	        3.2 	         6   	        1.8 	         7.2
virginica  	        2.8 	         4.8 	        1.8 	         6.2
virginica  	        3   	         4.9 	        1.8 	         6.1
virginica  	        2.8 	         5.6 	        2.1 	         6.4
virginica  	        3   	         5.8 	        1.6 	         7.2
virginica  	        2.8 	         6.1 	        1.9 	         7.4
virginica  	        3.8 	         6.4 	        2   	         7.9
virginica  	        2.8 	         5.6 	        2.2 	         6.4
virginica  	        2.8 	         5.1 	        1.5 	         6.3
virginica  	        2.6 	         5.6 	        1.4 	         6.1
virginica  	        3   	         6.1 	        2.3 	         7.7
virginica  	        3.4 	         5.6 	        2.4 	         6.3
virginica  	        3.1 	         5.5 	        1.8 	         6.4
virginica  	        3   	         4.8 	        1.8 	         6
virginica  	        3.1 	         5.4 	        2.1 	         6.9
virginica  	        3.1 	         5.6 	        2.4 	         6.7
virginica  	        3.1 	         5.1 	        2.3 	         6.9
virginica  	        2.7 	         5.1 	        1.9 	         5.8
virginica  	        3.2 	         5.9 	        2.3 	         6.8
virginica  	        3.3 	         5.7 	        2.5 	         6.7
virginica  	        3   	         5.2 	        2.3 	         6.7
virginica  	        2.5 	         5   	        1.9 	         6.3
virginica  	        3   	         5.2 	        2   	         6.5
virginica  	        3.4 	         5.4 	        2.3 	         6.2
virginica  	        3   	         5.1 	        1.8 	         5.9
