标题,标题链接,wb_text,wb_text_链接,wb_handle
"
            北体大头号迷妹：玲小姐姐好美！        ",https://weibo.com/3810408126,北体大头号迷妹,https://vip.weibo.com/personal?from=main,438
"
            尛倩同學12138：鲁信我不豫 好家伙你是无梗不知无梗不晓的谭sir！        ",https://weibo.com/2826636754,尛倩同學12138,javascript:void(0);,422
"
            有味道的南瓜：感谢网络时代，让我看到十年前“福贵大爷”的完美结局。没看过十年前福贵大爷那期谭Sir节目的，建议先看上集，再看这部下集。最后，感谢大爷的生活态度鼓舞了我，面对生活，我正在努力💪        ",https://weibo.com/2716078370,有味道的南瓜,https://vip.weibo.com/personal?from=main,344
"
            一包盐_：你终于发了，依然没带热搜话题        ",https://weibo.com/3647387741,一包盐_,javascript:void(0);,311
"
            菜籽儿er：哈哈哈10年前69现在60        ",https://weibo.com/5602587720,菜籽儿er,javascript:void(0);,273
"
            勇气数码君：看完了，还是很心酸。富贵老来得子，这小姑娘的教育和以后的生活怎么保证啊？！心疼……有没有捐款的渠道啊！？        ",https://weibo.com/7109370363,勇气数码君,https://verified.weibo.com/verify,200
"
            遗失的美好Elin：还是这种题材的有真实感，给很多人满满的正能量，激发活下去的力量。什么吃播啥的在这些面前真的太没有关注的价值了。        ",https://weibo.com/6975812248,遗失的美好Elin,,211
"
            不要你离开ll：谭警官长胖了哈        ",https://weibo.com/7099208610,不要你离开ll,https://vip.weibo.com/personal?from=main,198
"
            新新之路：这是全版。小姑娘真伶俐可爱，弟弟原来一直躲在车里。“我没有办法选择，只能慢慢克服”。好日子属于坚韧善良不放弃的人。真好。        ",https://weibo.com/1745476105,新新之路,https://weibo.com/1805524974/KbshsucVn?type=comment,142
"
            许正瑞大魔王：希望不要有人去打扰大爷        ",https://weibo.com/5506112801,许正瑞大魔王,,139
"
            sz-mickey：建议可以开设一个小额捐款的通道。        ",https://weibo.com/lizhaoshu,sz-mickey,https://verified.weibo.com/verify,124
"
            水果树人Fruit-Man：谭警官，我要去二仙桥！！！！！！是不是走成华大道        ",https://weibo.com/6807127376,水果树人Fruit-Man,https://vip.weibo.com/personal?from=main,87
"
            江小菱：向前看 我正在努力        ",https://weibo.com/7277456916,江小菱,javascript:void(0);,77
"
            星栎_star：不要去打扰大爷！不要去打扰大爷！不要去打扰大爷！        ",https://weibo.com/6560706553,星栎_star,,95
"
            传闻中的王芊芊qqq：“如果我们改变不了活着的事实，那我们就努力改变活着的态度”        ",https://weibo.com/6381373647,传闻中的王芊芊qqq,https://verified.weibo.com/verify,73
"
            大佬的命格_yu：这是什么宿命吗？2000年6月初五，前妻难产，和儿子都没留住。现在的女儿生日竟然也是六月初五。        ",https://weibo.com/3821845805,大佬的命格_yu,javascript:void(0);,71
"
            起身独立向荒原：“观音乔在观音桥 世间音寻世间因” Ps.众所周知 谭警官有捐不完的500块钱        ",https://weibo.com/2582767177,起身独立向荒原,https://vip.weibo.com/personal?from=main,75
"
            心水轲轲子：平凡的人们 最多的感动        ",https://weibo.com/7283429828,心水轲轲子,https://vip.weibo.com/personal?from=main,54
"
            天则轩主人：生活不可能像你想象得那么好，但也不会像你想象得那么糟，我觉得人的脆弱和坚强都超乎自己的想象，有时，我可能脆弱得一句话就泪流满面；有时，也发现自己咬着牙走了很长的路。           ",https://weibo.com/1901513093,天则轩主人,,58
"
            北体大头号迷妹：谭警官那个时候可真的是我们的男神        ",https://weibo.com/3810408126,北体大头号迷妹,https://vip.weibo.com/personal?from=main,49
"
            零下37度F：川岛警官也被骗了10年了，10年前那位69岁的“富贵”大爷找到了，今年已经马上60岁了🤓🤓🤓🤓        ",https://weibo.com/6148860677,零下37度F,javascript:void(0);,53
"
            全是狗粮呀：观音桥：马上就有一大批求姻缘的同学到达        ",https://weibo.com/3822710584,全是狗粮呀,https://verified.weibo.com/verify,62
"
            2021开开心：希望可以多做一点回访的视频        ",https://weibo.com/6520537251,2021开开心,javascript:void(0);,57
"
            月亮不爱讲话：结尾升华的太好了         ",https://weibo.com/5254961062,月亮不爱讲话,,67
"
            田维政CR7：万人联名求找贝斯特橱柜二人组！好想看他们过得怎么样了？        ",https://weibo.com/1792532922,田维政CR7,javascript:void(0);,42
"
            疯瑶的鱼：谭警官那点💰永远没捐完，心善的谭警官啊        ",https://weibo.com/2740130927,疯瑶的鱼,https://verified.weibo.com/verify,25
"
            雅纹00701：谭警官除了幽默接地气，精华是善良有爱。        ",https://weibo.com/1898388503,雅纹00701,javascript:void(0);,23
"
            L盐洗澡L：那现在去观音桥打卡能找到对象么        ",https://weibo.com/5020931426,L盐洗澡L,https://verified.weibo.com/verify,34
"
            NobeenLuo：小姐姐好美子        ",https://weibo.com/3983627050,NobeenLuo,,24
"
            雅斐_Yang：请最快的速度送我去火葬场哈哈哈……小度都吓傻了        ",https://weibo.com/5760894488,雅斐_Yang,https://vip.weibo.com/personal?from=main,25
"
            冷眼旁观看世界者：有没有发现，他现在女儿六月初五生的，怀着宝宝的前妻是六月初五死的。。。。        ",https://weibo.com/6129298226,冷眼旁观看世界者,javascript:void(0);,24
"
            tmac1curry30：太戏剧了。果然一切电影小说创作都来源于生活。有悲剧的地方也有喜剧。这才是活生生的人。        ",https://weibo.com/2363487120,tmac1curry30,,23
"
            洛隆宣传：加油，向前看，一切皆有可能        ",https://weibo.com/7449657360,洛隆宣传,https://fuwu.biz.weibo.com/,14
"
            Kirin汪苏苏的耳垂：不是给你的，我是给孩子的哈哈啊哈有那味儿了啊        ",https://weibo.com/6026492956,Kirin汪苏苏的耳垂,https://vip.weibo.com/personal?from=main,16
"
            65Tao：大爷要注意交通安全，交通安全是一码事        ",https://weibo.com/5524206461,65Tao,,19
"
            电影记录员董冬冬：真好👏        ",https://weibo.com/6280773297,电影记录员董冬冬,https://verified.weibo.com/verify,14
"
            有趣的森恶魔：你大爷还是你大爷        ",https://weibo.com/5724478238,有趣的森恶魔,,24
"
            甜虾想去不周山进修：看得我哭唧唧，真的对着屏幕给大爷鼓掌了另，我努力过，我正在努力。希望大家都越来越好        ",https://weibo.com/7076277056,甜虾想去不周山进修,https://vip.weibo.com/personal?from=main,12
"
            冒菜huo串串儿：大爷还是蛮幽默的        ",https://weibo.com/6328781299,冒菜huo串串儿,https://vip.weibo.com/personal?from=main,16
"
            封章惑苏：小姐姐好漂亮，说话也好有水准啊        ",https://weibo.com/3003027793,封章惑苏,,18
"
            bddjdifjicjf：鲁信我不豫哈哈哈哈哈        ",https://weibo.com/1919909533,bddjdifjicjf,https://vip.weibo.com/personal?from=main,9
"
            小田是个酱油仔：想到罗曼罗兰一句话，真的勇士是认清生活的本质后依然热爱生活。        ",https://weibo.com/6019377578,小田是个酱油仔,,23
"
            周瑜桥：谭警官只是想帮助一下富贵大爷因为一次交通违法采访中大爷只剩弟弟了大爷没有放弃生活，谭警官想找残疾协会帮助。        ",https://weibo.com/5468163621,周瑜桥,,15
"
            清偌微扬：呀，十年了还是六十岁        ",https://weibo.com/3904804523,清偌微扬,https://vip.weibo.com/personal?from=main,18
"
            封封酱：鼓掌鼓掌鼓掌        ",https://weibo.com/6413735959,封封酱,https://verified.weibo.com/verify,4
"
            今年要好好好好好好减肥：这个结局可真好啊        ",https://weibo.com/2983227817,今年要好好好好好好减肥,,16
"
            一只吃牛肉的猫：观音桥二仙桥还有成华大道        ",https://weibo.com/1872185094,一只吃牛肉的猫,,12
"
            Luminosariavvia：@特特懒        ",https://weibo.com/6122512540,Luminosariavvia,https://weibo.com/n/%E7%89%B9%E7%89%B9%E6%87%92?from=feed&loc=at,2
"
            一支麦：向前看，所有人都在努力活着        ",https://weibo.com/6753248721,一支麦,https://verified.weibo.com/verify,7
"
            蛋挞妹：女儿收拾的干干净净        ",https://weibo.com/2029383534,蛋挞妹,https://vip.weibo.com/personal?from=main,15
"
            G7AXX： ♥️        ",https://weibo.com/realgta5,G7AXX,https://verified.weibo.com/verify,2
"
            羊羊吃一闷口：小时候最喜欢的警察！那时候想长大后就要嫁一个这样的人！哈哈哈哈 转眼就长大了～        ",https://weibo.com/2807932757,羊羊吃一闷口,https://vip.weibo.com/personal?from=main,8
"
            脑哥屋恩：笑哭了，送我去火葬场        ",https://weibo.com/2988206777,脑哥屋恩,https://verified.weibo.com/verify,12
"
            天涯_筱语：往前看，有光        ",https://weibo.com/2568902974,天涯_筱语,https://vip.weibo.com/personal?from=main,6
"
            港岛上空的鹰2035：大爷是大时代背景下许多普通人真实的写照，生活艰难但永不放弃（Never give up），这正是中国人的最朴素的情感和精神，也是中华民族传统美德和伟大复兴的力量。        ",https://weibo.com/2039581087,港岛上空的鹰2035,https://verified.weibo.com/verify,6
"
            我想要大长蹆：偷狗的人你过不好年[过招]        ",https://weibo.com/5269822772,我想要大长蹆,https://vip.weibo.com/personal?from=main,7
"
            Gracieuxsun：祝大爷谭警官都幸福        ",https://weibo.com/wendy635582kkshiwin,Gracieuxsun,https://vip.weibo.com/personal?from=main,4
"
            五里璐：给这十年呱唧呱唧👏👏👏        ",https://weibo.com/3292819881,五里璐,https://vip.weibo.com/personal?from=main,5
"
            渔樵子耕读君：虽然老谭这个事儿这个节目有策划的成分，但是有阳光，有正能量，有希望，手动点个赞吧        ",https://weibo.com/5586632345,渔樵子耕读君,https://vip.weibo.com/personal?from=main,5
"
            日出东方利：谭警官唱：十年之前你就骗了我        ",https://weibo.com/7206408603,日出东方利,,5
"
            Lubov哼将小灵：哭着哭着笑了，笑着笑着又哭了，然后还是笑了        ",https://weibo.com/2278412322,Lubov哼将小灵,,11
"
            至善不渝2014：这确实是温暖的结局        ",https://weibo.com/1846902175,至善不渝2014,,6
"
            飘移过杆：好感动心态好，身体就好，身体好，什么都可以实现，向前看，让人生充满希望，大爷好厉害        ",https://weibo.com/2771030497,飘移过杆,https://kefu.weibo.com/faqdetail?id=20848,11
"
            大杨v：玲女士转述余华:“如果不能改变命运的事实，就改变活着的态度” 好。        ",https://weibo.com/1895668045,大杨v,,2
"
            生化forever：现在看谭sir当年是“穿越未来”了！        ",https://weibo.com/2097520184,生化forever,,8
"
            _嘻熙熙：看到这句笑死哈哈哈哈哈哈哈哈还有三年高考五年模拟//@烂裤裆乐队:请最快的速度送我去火葬场哈哈哈哈哈        ",https://weibo.com/xiaobeifighting,_嘻熙熙,https://weibo.com/1805524974/KbshsucVn?type=comment,6
"
            吴娃在线：真的全球华人无人不晓的谭Sir啊，在加拿大也看        ",https://weibo.com/momoliwu,吴娃在线,,5
"
            -Bygone_：掌声  你大爷还是你大爷        ",https://weibo.com/3516135993,-Bygone_,https://vip.weibo.com/personal?from=main,8
"
            金钰琪质Yukee：#往前看有光# HE🎉🎉        ",https://weibo.com/XiaoJieKid,金钰琪质Yukee,https://verified.weibo.com/verify,1
"
            叫凯凯Naive：“小度 小度 请最快速度送我去火葬场！” “要去第几个？” “第一个第一个”        ",https://weibo.com/Sneakershows,叫凯凯Naive,https://weibo.com/1805524974/KbshsucVn?type=comment,3
"
            XXX_Manblue：三年高考五年模拟，做得头破血流 这么多年谭警官还是没变，依旧幽默风趣，随时爆金句没想到过了这么多年我还能看到新一期的谭谈交通，满满回忆。        ",https://weibo.com/5856477558,XXX_Manblue,,7
"
            lai20620：谭警官可以去高德地图上录个语音包吗        ",https://weibo.com/6247444880,lai20620,,5
"
            在下头很铁灬：“别客气，在家里边坐坐”笑死我了        ",https://weibo.com/3363658434,在下头很铁灬,,4
"
            7erryWang：1-“请以最快速度送我去火葬场。”2-“鲁信我不豫。”3-69岁大爷十年后60岁4-成都观音桥送子送妻子。5-大爷永远“向前看”        ",https://weibo.com/2274057054,7erryWang,https://weibo.com/1805524974/KbshsucVn?type=comment,6
"
            乔木与森：哈哈哈哈哈//@烂裤裆乐队:请最快的速度送我去火葬场哈哈哈哈哈        ",https://weibo.com/KyaHyun1314,乔木与森,https://vip.weibo.com/personal?from=main,1
"
            不吃了我不饿谢谢：一分钟要这个玲妹妹联系方式        ",https://weibo.com/5500870307,不吃了我不饿谢谢,https://vip.weibo.com/personal?from=main,6
"
            铁锤挥舞：祝福福贵大爷往后余生幸福快乐！🙏🙏🙏        ",https://weibo.com/3135113794,铁锤挥舞,https://car.weibo.com/pc/view?page=123456,1
"
            Seikiaaa：谭警官现在还是警官吗        ",https://weibo.com/1823170633,Seikiaaa,https://vip.weibo.com/personal?from=main,5
"
            古人不成欺我i：谭警官  你也骗我们 啥时候有头发的        ",https://weibo.com/5743504722,古人不成欺我i,https://vip.weibo.com/personal?from=main,6
"
            藻圈就是珞珞珞珞珞：我正在努力！只是谭sir你是不是胖了好多啊！哈哈哈哈哈哈哈        ",https://weibo.com/ivychen11zoro,藻圈就是珞珞珞珞珞,https://verified.weibo.com/verify,1
"
            海娃小贝儿：太好了感谢谭警官        ",https://weibo.com/3992640578,海娃小贝儿,https://verified.weibo.com/verify,1
"
            风向星座的風：观音桥遇到谭sir过后大爷就开始转运啦        ",https://weibo.com/2091979881,风向星座的風,,1
"
            轻语薇笑：谢谢高大帅气宇宙无敌超级善良尽职尽责谭警官        ",https://weibo.com/1932776081,轻语薇笑,,3
"
            阳光凌敏：我只想说：谭可爱你比十年前胖了不少        ",https://weibo.com/6805334417,阳光凌敏,,5
"
            何处夏花开：谭sir有点胖了        ",https://weibo.com/3812455023,何处夏花开,,3
"
            月倾唯俊：谭sir还是那个爱洗脑壳的谭sir。大爷越活越年轻真好。        ",https://weibo.com/1847455617,月倾唯俊,https://verified.weibo.com/verify,8
"
            孤独佰年：15分钟左右弹幕涨了这么多   加油，努力        ",https://weibo.com/5294205900,孤独佰年,https://vip.weibo.com/personal?from=main,4
"
            _黎彩虹：刚在哔站看完 结局真的令人舒适？        ",https://weibo.com/licaihongshiwohaha,_黎彩虹,https://weibo.com/1805524974/KbshsucVn?type=comment,2
"
            你看起来可能很好吃：世界上只有一种英雄主义，那就是看清生活的本质后，依旧热爱生活。        ",https://weibo.com/tonice,你看起来可能很好吃,https://weibo.com/1805524974/KbshsucVn?type=comment,1
"
            螺二两花生米：好想知道倍斯特橱柜俩人怎么样了，公司当年给换了车子了吗        ",https://weibo.com/5723031365,螺二两花生米,javascript:void(0);,2
"
            中国人思维：好的，改变活着的态度。        ",https://weibo.com/1597954007,中国人思维,,2
"
            我是一个小可爱哦哦哦哦：希望大爷以后一切顺利，一切都好，希望他的女儿健健康康地长大，永远幸福        ",https://weibo.com/7493238495,我是一个小可爱哦哦哦哦,,5
"
            Clover丶柠萌：年年岁岁花相似,岁岁年年人不同。向前看的同时亦要珍惜眼前人        ",https://weibo.com/cloverlemon,Clover丶柠萌,,2
"
            抑郁人格被放逐在网上冲浪：有点想哭奥        ",https://weibo.com/7398375093,抑郁人格被放逐在网上冲浪,,3
"
            真闲ZENWOODS：“往前看”，借用《活着》那句话：也许在面对命运的时候，不能不去感叹人类的无力，但是如果改变不了活着的事实，我们就改变活着的态度。        ",https://weibo.com/zenwoods,真闲ZENWOODS,https://verified.weibo.com/verify,1
"
            无敌村炮儿：看到他的女儿 心里突然紧张起来 老天爷保佑他和他的家人平安健康吧 不要更多的悲剧了        ",https://weibo.com/1935079484,无敌村炮儿,javascript:void(0);,1
"
            单身久了看到猪都眉清目朗：福贵大爷我是不找了，想问下观音桥怎么走？？？        ",https://weibo.com/chenguang125,单身久了看到猪都眉清目朗,https://weibo.com/1805524974/KbshsucVn?type=comment,1
"
            吉他拌饭重口味者：其实国家低保其他帮助都是一种对老人家庭的保障，不必当做太大的压力来看待的        ",https://weibo.com/6250052549,吉他拌饭重口味者,,5
"
            我一定要瘦二十斤啊啊啊：最近又在思考活着的意义，这个视频真的给了我好大的启发和鼓励        ",https://weibo.com/3317789513,我一定要瘦二十斤啊啊啊,,5
"
            Exiesym：又笑又哭地看完，活着真好！        ",https://weibo.com/3310963685,Exiesym,https://vip.weibo.com/personal?from=main,2
"
            Swaggy-西桃HH：正在努力        ",https://weibo.com/5082369194,Swaggy-西桃HH,https://verified.weibo.com/verify,1
"
            迷失的孤独一时：这必须要吃低保撒，以后娃娃读书，也能给大爷减轻负担        ",https://weibo.com/5291892502,迷失的孤独一时,,6
"
            江公补过1926：向前看        ",https://weibo.com/3812513093,江公补过1926,,2
"
            浅蓝执素：大爷和他弟弟该得困难补助都该给人家啊，不能因为人家没去办理，民政部门就不作为吧！万一有他的困难补助不发给他，还让有些人没有资格的冒领了呢联系网友多关注一下，佩服大爷努力积极的生活态度！        ",https://weibo.com/5342186119,浅蓝执素,https://vip.weibo.com/personal?from=main,2
"
            时真命不假也：无论环境如何，命运多不公，只要心中有光，努力的活着，幸福的阳光就会照进人生！        ",https://weibo.com/5741807716,时真命不假也,https://verified.weibo.com/verify,1
"
            潘浥塵：祝福他        ",https://weibo.com/5382548566,潘浥塵,https://vip.weibo.com/personal?from=main,1
"
            Alexandrepan：谭警光好去二仙桥 走成华大道，能拉，只能拉一点点，不能拉多咯。谭谈交通真是b站鬼畜常青树。福贵大爷那个采访看的确实蕾姆，向前看        ",https://weibo.com/6058186899,Alexandrepan,https://vip.weibo.com/personal?from=main,1
"
            容儿athene：天啊 谭警官变化太大了 都认不出来了 唯独声音还能认出        ",https://weibo.com/1881578625,容儿athene,,2
"
            晓石头看世界：#往前看有光#         ",https://weibo.com/5884234562,晓石头看世界,https://vip.weibo.com/personal?from=main,1
"
            拓山流：大爷果然还是大爷        ",https://weibo.com/717designer,拓山流,https://verified.weibo.com/verify,1
"
            coie1985：积极向上正能量！        ",https://weibo.com/5587734779,coie1985,https://vip.weibo.com/personal?from=main,1
"
            封封酱：辛苦了谭警光  视频很好看我还没去B站        ",https://weibo.com/6413735959,封封酱,https://verified.weibo.com/verify,1
"
            秃然就很困：大爷要健康幸福的和家人生活哦！继续向前看！ “我也正在努力中”！/:v        ",https://weibo.com/5317657659,秃然就很困,https://vip.weibo.com/personal?from=main,1
"
            疯瑶的鱼：哇呀，感动        ",https://weibo.com/2740130927,疯瑶的鱼,https://verified.weibo.com/verify,1
"
            乙卯芳心：看过谭谈交通。是否还记得那个斜挎包？当时在车上看见了有几把菜刀的那个斜挎包。当时在车上发现了一把菜刀，然后说要再去搜的时候那个斜挎包，然后在那儿做俯卧撑。        ",https://weibo.com/3028840570,乙卯芳心,javascript:void(0);,5
"
            经典糖不稀：解锁新地名 观音桥        ",https://weibo.com/5751596841,经典糖不稀,https://vip.weibo.com/personal?from=main,3
"
            屈扬扬扬扬扬：祝大爺生活快樂 健康長壽        ",https://weibo.com/quyangtony,屈扬扬扬扬扬,https://verified.weibo.com/verify,1
"
            我想我不能拯救世界了：人间        ",https://weibo.com/2628959095,我想我不能拯救世界了,https://vip.weibo.com/personal?from=main,赞
"
            成都姑娘莉莉：做的头破血流😂😂。。。。。以前最讨厌我干妈来看我，一来，零食没有全是模拟题😂😂😂        ",https://weibo.com/1713302145,成都姑娘莉莉,https://verified.weibo.com/verify,赞
"
            不系一舟：泪目。🙏        ",https://weibo.com/5828380438,不系一舟,https://vip.weibo.com/personal?from=main,赞
"
            炖炖沂米：全球华人地区无人不知无人不晓的谭警官        ",https://weibo.com/1839638340,炖炖沂米,https://vip.weibo.com/personal?from=main,赞
"
            ASHILINN：“改变不了活着的事实，就改变活着的态度”        ",https://weibo.com/ashilin001,ASHILINN,https://weibo.com/1805524974/KbshsucVn?type=comment,赞
"
            Yyanga-：@_ha小不点        ",https://weibo.com/3053194750,Yyanga-,https://weibo.com/1805524974/KbshsucVn?type=comment,赞
"
            shushuchen-：@Steven3515        ",https://weibo.com/lovedh2,shushuchen-,https://weibo.com/1805524974/KbshsucVn?type=comment,赞
"
            社会矛盾：就这期看着可以，比央视什么军搞得煽情的好太多了。        ",https://weibo.com/iwatch1,社会矛盾,https://vip.weibo.com/personal?from=main,赞
"
            KILL-BLUE：请最快速度送我去火葬场        ",https://weibo.com/KILLBLUE27,KILL-BLUE,https://vip.weibo.com/personal?from=main,赞
"
            奋斗人生619：虽然前半生很苦大爷后半生还是获得了幸福        ",https://weibo.com/5617032177,奋斗人生619,https://verified.weibo.com/verify,赞
"
            奋斗人生619：这个玲妹妹性格好好哦        ",https://weibo.com/5617032177,奋斗人生619,https://verified.weibo.com/verify,赞
"
            奋斗人生619：谭警官开的啥车？这玲妹妹不错啊        ",https://weibo.com/5617032177,奋斗人生619,https://verified.weibo.com/verify,赞
"
            蕣墨槿华：往前看        ",https://weibo.com/3666391055,蕣墨槿华,https://vip.weibo.com/personal?from=main,赞
"
            虹霓家：十年重返，仍往前看。        ",https://weibo.com/hongnijia,虹霓家,https://weibo.com/1805524974/KbshsucVn?type=comment,赞
"
            长似少年游丶：往前看！        ",https://weibo.com/5253412879,长似少年游丶,https://vip.weibo.com/personal?from=main,赞
"
            潜子bro：给你鼓掌👏👏👏又给我整哭了        ",https://weibo.com/chenqianxb,潜子bro,https://verified.weibo.com/verify,赞
"
            墨色星光丶06475：哈哈哈哈哈，谭晶光的开场白比周星驰的赌圣开场白还要长        ",https://weibo.com/5860514129,墨色星光丶06475,https://car.weibo.com/pc/view?page=123456,赞
"
            搞机小罗：警官好        ",https://weibo.com/1820929997,搞机小罗,https://verified.weibo.com/verify,赞
"
            梅园雪人：♥️        ",https://weibo.com/5288494758,梅园雪人,https://vip.weibo.com/personal?from=main,赞
"
            就叫早早好了：我从小被父母抛弃六岁才被接回来，小时候有过很多次自杀的想法，自卑敏感缺爱。结婚三年离了婚自己独自抚养我的女儿，我女儿手术三次我带着她住仓库喝稀饭拌萝卜干熬的我流鼻血，就这样硬撑了五年，我终于垮了，3月份我做了肾切除手术，我一直都乐观去承受，我觉得生活总会放过我和我女儿        ",https://weibo.com/5738063139,就叫早早好了,,3
"
            SRY_sun：泪目        ",https://weibo.com/5092319209,SRY_sun,https://vip.weibo.com/personal?from=main,赞
"
            成都同城会：向前看//@房昊曰天: 六十岁的大爷可太真实了，其实那些文字故事里震撼人心的情节，真实发生的时候，平淡而又坦然，真好啊        ",https://weibo.com/chengdu,成都同城会,https://fuwu.biz.weibo.com/,赞
"
            冒一根鸭肠：@请叫我公主蟹蟹 @吃猫的鱼儿 @Paul_and_Mary        ",https://weibo.com/bbvvip,冒一根鸭肠,https://weibo.com/1805524974/KbshsucVn?type=comment,赞
"
            不完美世界的不完美自己：结局挺好，人活一世其实活的就是对生活的态度。        ",https://weibo.com/vdongv,不完美世界的不完美自己,https://vip.weibo.com/personal?from=main,赞
"
            许小姐等等我：向前看 一切皆有答案        ",https://weibo.com/2602978537,许小姐等等我,https://verified.weibo.com/verify,赞
"
            美德少年：泪目        ",https://weibo.com/ybggg,美德少年,https://weibo.com/1805524974/KbshsucVn?type=comment,赞
"
            一口豆皮一口面炸串汤圆小泡面：我努力过，我正在努力活着        ",https://weibo.com/5824440956,一口豆皮一口面炸串汤圆小泡面,https://vip.weibo.com/personal?from=main,赞
"
            也许承诺证明没把握：人家穿单薄衣服，你穿的羽绒服        ",https://weibo.com/7351396215,也许承诺证明没把握,https://vip.weibo.com/personal?from=main,赞
"
            咚咚呛一咚咚呛：希望那个热爱生活，努力生活的人都有一个好的结局        ",https://weibo.com/6527918731,咚咚呛一咚咚呛,https://vip.weibo.com/personal?from=main,1
"
            黄油百合秋子：真好啊        ",https://weibo.com/1835419840,黄油百合秋子,https://weibo.com/1805524974/KbshsucVn?type=comment,赞
"
            喊我maomao就很好：加油加油        ",https://weibo.com/2519725045,喊我maomao就很好,https://verified.weibo.com/verify,赞
"
            missUlisaForever：        ",https://weibo.com/2750245953,missUlisaForever,,赞
"
            小仵的天空1：富贵大爷平静的生活着，真好！        ",https://weibo.com/1725568631,小仵的天空1,https://vip.weibo.com/personal?from=main,赞
"
            鳳梨不愛曬太陽：@佩奇_piggy        ",https://weibo.com/ILOVETTX,鳳梨不愛曬太陽,https://weibo.com/1805524974/KbshsucVn?type=comment,赞
"
            泰州新鲜事：大爷的地址我已经帮你们找到了，在成都二仙桥，建议走成华大道。全国各地网红赶紧去吧。        ",https://weibo.com/TZ225700,泰州新鲜事,https://verified.weibo.com/verify,3
"
            wuli林哆：我正在努力        ",https://weibo.com/6034437910,wuli林哆,https://vip.weibo.com/personal?from=main,赞
"
            烟浪远暮云重：生活充满希望！        ",https://weibo.com/3170022737,烟浪远暮云重,https://vip.weibo.com/personal?from=main,赞
"
            林先森---：往前看有光~        ",https://weibo.com/3752819427,林先森---,https://verified.weibo.com/verify,赞
"
            -老妖猫-：        ",https://weibo.com/laoyaomao,-老妖猫-,https://vip.weibo.com/personal?from=main,赞
"
            木子杉BQ：努力地向前走。        ",https://weibo.com/2427120947,木子杉BQ,https://vip.weibo.com/personal?from=main,赞
"
            Gift2014_29645：谭设还有没有在当警察啊        ",https://weibo.com/5541685374,Gift2014_29645,https://weibo.com/1805524974/KbshsucVn?type=comment,1
"
            fathyYCY：活着，真正的诠释了        ",https://weibo.com/2957488131,fathyYCY,,赞
"
            w-keren：哈哈哈哈哈哈哈哈哈哈哈哈哈哈好        ",https://weibo.com/1656695393,w-keren,,2
"
            雁门关酒仙：温暖的故事有着温暖的后续。        ",https://weibo.com/godofjiong,雁门关酒仙,https://vip.weibo.com/personal?from=main,赞
